Draw Number,Main 1,Main 2,Main 3,Main 4,Main 5,Main 6,Supp 1,Supp 2
3819,1,5,14,15,19,30,20,28
3817,3,8,13,30,31,35,17,25
3815,2,7,16,23,27,44,25,28
3813,11,12,13,23,24,27,22,31
3811,1,4,7,11,32,40,26,29
3809,2,5,9,14,31,34,7,13
3807,1,6,16,19,36,45,5,11
3805,3,12,31,32,35,44,13,14
3803,6,9,27,30,35,37,4,14
3801,8,11,13,21,23,34,24,42
3799,1,5,26,28,39,45,12,44
3797,14,17,28,30,34,36,44,45
3795,8,14,16,23,25,44,2,9
3793,4,6,18,31,36,44,1,10
3791,6,19,26,28,40,42,33,36
3789,18,19,27,30,38,43,16,21
3787,4,7,17,22,26,30,41,44
3785,1,13,17,38,40,44,22,31
3783,13,22,30,34,42,45,39,44
3781,6,13,18,25,34,39,9,42
3779,7,13,15,18,31,34,17,27
3777,1,19,20,22,32,34,3,33
3775,6,8,13,40,44,45,2,16
3773,5,10,20,29,41,45,7,26
3771,12,21,28,35,40,42,4,9
3769,16,17,21,22,23,44,2,30
3767,11,15,20,27,38,45,18,42
3765,3,9,23,30,39,45,7,17
3763,7,11,14,16,26,45,34,35
3761,1,7,11,20,21,32,22,26
3759,28,30,31,34,42,43,4,25
3757,11,22,27,32,42,44,7,39
3755,1,11,22,25,41,44,9,23
3753,11,18,22,24,26,33,19,28
3751,6,10,18,19,32,36,1,13
3749,1,5,13,29,32,43,38,40
3747,5,19,25,30,33,34,1,2
3745,12,14,20,22,24,44,6,32
3743,9,21,27,30,32,35,20,31
3741,15,17,18,24,42,45,35,36
3739,6,10,11,15,29,33,5,25
3737,1,16,21,30,35,40,2,7
3735,8,9,16,26,39,41,28,31
3733,3,10,23,29,34,37,1,24
3731,11,13,18,21,24,30,15,27
3729,3,15,26,32,40,44,16,41
3727,3,7,25,27,32,38,21,28
3725,16,20,24,32,34,37,4,45
3723,16,20,23,28,35,39,4,27
3721,1,10,15,23,36,43,2,34
3719,1,10,15,31,36,39,11,32
3717,9,12,15,18,28,34,1,44
3715,7,22,29,33,36,44,5,45
3713,21,25,28,30,33,37,3,36
3711,3,18,41,42,43,45,2,21
3709,4,16,22,34,36,38,3,26
3707,6,10,19,28,37,40,8,33
3705,14,17,30,37,41,43,5,38
3703,9,12,21,22,30,41,20,27
3701,7,19,20,22,40,41,5,35
3699,4,11,16,18,31,40,17,38
3697,4,5,9,24,34,39,15,29
3695,8,17,18,29,36,42,11,33
3693,5,20,25,33,34,36,27,42
3691,10,11,18,26,39,44,15,16
3689,18,19,27,29,38,45,32,35
3687,1,12,14,16,24,40,20,31
3685,1,3,12,18,22,38,34,40
3683,9,23,24,34,38,43,13,37
3681,15,20,23,33,39,42,22,36
3679,16,22,35,37,39,42,29,43
3677,2,8,21,22,31,40,28,30
3675,2,3,6,21,26,38,22,35
3673,6,14,22,26,35,37,10,31
3671,11,12,18,25,34,45,13,37
3669,3,8,9,12,18,27,4,39
3667,5,7,9,13,18,27,25,42
3665,7,23,28,32,36,40,39,41
3663,4,5,13,18,25,34,23,31
3661,8,16,23,34,42,45,3,44
3659,11,14,16,37,41,45,1,32
3657,6,12,15,19,23,31,8,22
3655,27,32,33,37,40,45,22,38
3653,4,7,10,15,22,32,6,38
3651,1,3,7,12,24,32,2,10
3649,13,17,21,25,33,38,11,18
3647,5,12,16,20,31,41,10,29
3645,4,7,10,17,28,31,12,23
3643,1,2,13,20,39,44,4,7
3641,4,10,25,32,39,45,22,26
3639,3,12,26,27,38,43,16,44
3637,1,21,34,35,37,42,11,26
3635,5,11,13,14,37,39,12,32
3633,4,10,13,21,33,34,14,30
3631,1,3,14,24,31,35,8,17
3629,2,20,22,24,27,30,10,26
3627,3,10,27,32,34,36,20,26
3625,1,3,11,29,36,42,26,33
3623,3,6,18,21,23,41,16,30
3621,7,11,12,23,29,36,9,33
3619,5,9,17,24,32,43,21,31
3617,8,10,16,24,28,31,2,4
3615,1,3,8,16,28,37,5,30
3613,2,11,20,26,39,45,19,33
3611,3,5,18,21,22,38,27,45
3609,5,17,22,26,30,42,19,36
3607,2,8,25,27,28,43,6,32
3605,4,26,33,39,40,43,32,41
3603,5,20,25,28,29,45,21,30
3601,20,24,33,41,44,45,12,29
3599,1,3,11,13,22,24,29,30
3597,2,18,20,25,30,36,5,11
3595,3,10,31,40,44,45,37,38
3593,5,9,25,34,35,36,29,42
3591,3,6,11,24,33,34,1,4
3589,6,7,8,11,31,40,22,30
3587,15,18,28,32,40,42,7,14
3585,1,9,17,18,24,34,26,36
3583,6,9,10,11,35,37,15,31
3581,6,10,21,28,37,42,14,39
3579,4,6,17,31,38,39,23,37
3577,10,14,19,20,27,37,13,29
3575,1,15,18,29,37,40,8,30
3573,2,7,10,13,23,24,8,21
3571,1,5,7,8,15,39,30,34
3569,3,6,7,21,22,43,14,39
3567,5,12,13,17,22,26,4,44
3565,4,5,16,29,32,44,19,37
3563,16,17,21,29,38,42,11,27
3561,5,13,27,31,37,42,18,30
